slab,epoch,total_epoch,training_elapsed_sec,total_loss,pde_loss,ic_loss,bc_loss,bc_gradient_loss
0,2000,2000,61.381225518882275,0.0042211078107357025,1.7459789887652732e-05,0.004139226861298084,3.6809789889957756e-05,2.761141149676405e-05
0,2100,2100,64.36618516594172,0.004216544795781374,1.994841659325175e-05,0.00416547479107976,1.6461650375276804e-05,1.4660156921308953e-05
0,2200,2200,67.35169864445925,0.004195278976112604,2.7587651857174933e-05,0.004123607650399208,1.4213224858394824e-05,2.9870428988942876e-05
0,2300,2300,70.34834080934525,0.004175005480647087,2.1947696950519457e-05,0.004092090763151646,2.2036418158677407e-05,3.893088432960212e-05
0,2400,2400,73.34162090718746,0.0041749682277441025,2.2046364392735995e-05,0.004105260595679283,2.0515664800768718e-05,2.7145521016791463e-05
0,2500,2500,76.33407803997397,0.004466407001018524,3.0060858989600092e-05,0.004103195853531361,0.0002509154728613794,8.223478653235361e-05
0,2600,2600,79.32750415429473,0.004170221276581287,2.418167787254788e-05,0.004052501171827316,3.467778515187092e-05,5.8860372519120574e-05
0,2700,2700,82.32112216949463,0.004082839470356703,2.0952606064383872e-05,0.0039772591553628445,2.835944906109944e-05,5.626869824482128e-05
0,2800,2800,85.31295435503125,0.004116039723157883,2.738453622441739e-05,0.003948833327740431,7.303772872546688e-05,6.678426143480465e-05
0,2900,2900,88.30512315407395,0.004068794194608927,2.1628866306855343e-05,0.003943110816180706,4.7962421376723796e-05,5.609154322883114e-05
0,3000,3000,91.29637374356389,0.004015322774648666,4.0743772842688486e-05,0.0038532079197466373,5.358019916457124e-05,6.779078103136271e-05
0,3100,3100,94.29135519266129,0.0038212628569453955,9.181197674479336e-05,0.003424443071708083,0.00019923437503166497,0.00010577362263575196
0,3200,3200,97.28855955973268,0.003599445568397641,0.0001168857779703103,0.003206131514161825,0.00015790309407748282,0.00011852508032461628
0,3300,3300,100.28576098009944,0.0033090540673583746,0.0001544928818475455,0.002830074168741703,0.00016189382586162537,0.00016259300173260272
0,3400,3400,103.27985721826553,0.003432242199778557,0.00016869207320269197,0.002994803711771965,0.00015936658019199967,0.00010937977640423924
0,3500,3500,106.27337641641498,0.0031385484617203474,0.00015949876978993416,0.002718751784414053,0.00011212618119316176,0.00014817170449532568
0,3600,3600,109.26811271905899,0.0044691674411296844,0.0003804552252404392,0.00263961311429739,0.0008674788987264037,0.0005816202610731125
0,3700,3700,112.26639518514276,0.004208975471556187,2.0418949134182185e-05,0.004139873199164867,2.625220440677367e-05,2.2431198885897174e-05
0,3800,3800,115.2683466039598,0.004172570537775755,1.838918797147926e-05,0.004103417973965406,2.3751610569888726e-05,2.7012072678189725e-05
0,3900,3900,118.270013615489,0.004152302164584398,1.9861015971400775e-05,0.0040756105445325375,2.5016375730047002e-05,3.181428837706335e-05
0,4000,4000,121.27156722545624,0.004134010523557663,2.403342296020128e-05,0.004044590517878532,2.1549656594288535e-05,4.383679697639309e-05
0,4100,4100,124.27381404489279,0.004105962812900543,2.5675637516542338e-05,0.004002607427537441,2.3415843315888196e-05,5.4263884521787986e-05
0,4200,4200,127.27833485603333,0.004072422161698341,2.6752069970825687e-05,0.0039551109075546265,3.3857038943096995e-05,5.670194877893664e-05
0,4300,4300,130.2740472741425,0.004059602972120047,3.055364504689351e-05,0.0038938489742577076,4.660370905185118e-05,8.859663648763672e-05
0,4400,4400,133.2747519724071,0.004072051960974932,3.649311838671565e-05,0.0038853627629578114,7.342033495660871e-05,7.677593384869397e-05
0,4500,4500,136.27327056601644,0.003943217918276787,4.2697705794125795e-05,0.0037713623605668545,3.870677755912766e-05,9.045102342497557e-05
